"qa_pair_id","question","correct_answer","model_output","exact_match","conflict_type","new_fact_seq","new_fact_text","new_fact_retrieved","new_fact_rank","new_fact_ppr","old_fact_seq","old_fact_text","old_answer","old_fact_retrieved","old_fact_rank","old_fact_ppr","update_gap","ppr_favors","fail_reason","p1_summary","p2_summary","p3_summary","p4_summary","p5_summary","p6_summary","p7_summary","p8_summary","p9_summary","p10_summary"
"factconsolidation_sh_6k_no0","Which sport is goaltender associated with?","pesäpallo","association football.","False","has_pair","310","goaltender is associated with the sport of pesäpallo.","True","2","0.030289","223","goaltender is associated with the sport of ice hockey.","ice hockey","True","1","0.06617","87","old_higher_ppr","entity_confused","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country..."
"factconsolidation_sh_6k_no1","What is Nobuhiro Watsuki famous for?","The Fairly OddParents","The Fairly OddParents.","True","has_pair","259","Nobuhiro Watsuki is famous for The Fairly OddParents.","True","3","0.017106","91","Nobuhiro Watsuki is famous for Rurouni Kenshin.","Rurouni Kenshin","True","1","0.086951","168","old_higher_ppr","","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ...","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang...","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 1[OLD]91. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church wa...","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country..."
"factconsolidation_sh_6k_no2","Which country was rugby union created in?","India","India.","True","has_pair","186","rugby union was created in the country of India.","True","1","0.042507","100","rugby union was created in the country of England.","England","True","2","0.04177","86","new_higher_ppr","","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ...","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang..."
"factconsolidation_sh_6k_no3","What is Ferdowsi famous for?","Shahnameh","Shahnameh.","True","no_conflict_pair","86","Ferdowsi is famous for Shahnameh.","True","1","0.043783","","","","False","","","","no_pair","","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ...","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420...."
"factconsolidation_sh_6k_no4","Which university was Joan Didion educated at?","University of California, Berkeley","University of California, Berkeley.","True","no_conflict_pair","63","The univeristy where Joan Didion was educated is University of California, Berkeley.","True","1","0.055282","","","","False","","","","no_pair","","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","Mario Puzo is famous for The Godfather. 113. London is located in the continent of Europe. 114. The headquarters of University of California, Berkeley is located in the city of Botevgrad. 115. The nam...","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ...","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ..."
"factconsolidation_sh_6k_no5","Who is the author of The Marriage of Figaro?","Thomas Kyd","Thomas Kyd.","True","has_pair","398","The author of The Marriage of Figaro is Thomas Kyd.","True","3","0.011495","271","The author of The Marriage of Figaro is Pierre Beaumarchais.","Pierre Beaumarchais","True","1","0.096165","127","old_higher_ppr","","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang...","Mario Puzo is famous for The Godfather. 113. London is located in the continent of Europe. 114. The headquarters of University of California, Berkeley is located in the city of Botevgrad. 115. The nam...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ..."
"factconsolidation_sh_6k_no6","Which sport is Tunisia national football team associated with?","basketball","association football.","False","has_pair","418","Tunisia national football team is associated with the sport of basketball.","True","1","0.06157","235","Tunisia national football team is associated with the sport of association football.","association football","True","2","0.046724","183","new_higher_ppr","older_fact","Steve Sax is associated with the sport of association football. [NEW]418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker....","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country...","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ..."
"factconsolidation_sh_6k_no7","Which sport is quarterback associated with?","Muay Thai","American football.","False","has_pair","50","quarterback is associated with the sport of Muay Thai.","True","2","0.048545","31","quarterback is associated with the sport of American football.","American football","True","1","0.050704","19","old_higher_ppr","older_fact","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","FC Irtysh Omsk is associated with the sport of association football. 1[NEW]50. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil w...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ...","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 2[OLD]31. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperso...","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang..."
"factconsolidation_sh_6k_no8","What is the official language of Japan?","Swedish","Swedish","True","has_pair","439","The official language of Japan is Swedish.","True","5","0.026626","240","The official language of Japan is Japanese.","Japanese","True","1","0.046313","199","old_higher_ppr","","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ...","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang...","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country..."
"factconsolidation_sh_6k_no9","What is the name of the current head of the Tucson government?","Jonathan Rothschild","Jonathan Rothschild","True","no_conflict_pair","454","The name of the current head of the Tucson government is Jonathan Rothschild.","True","1","0.093775","","","","False","","","","no_pair","","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","Mario Puzo is famous for The Godfather. 113. London is located in the continent of Europe. 114. The headquarters of University of California, Berkeley is located in the city of Botevgrad. 115. The nam...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ...","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang..."
